x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.15152	0.1109	0.10795	0.0152	0.15152	0.07785	0.09275	0.00955	0.15152	0.06255	0.08965	0.0071	0.15152	0.0642	0.0471	0.01435	0.15152	0.0542	0.0429	0.00975	0.15152	0.2178	0.08045	0.00375	0.15152	0.0401	0.0672	0.0024	0.15152	0.0461	0.059	0.0029	0.15152	0.0936	0.0623	0.0052	0.15152	0.0547	0.0675	0.0055	0.06061	0.27305	0.56615	0.0095	0.06061	0.10385	0.45395	0.00925	0.06061	0.16635	0.36275	0.006	0.06061	0.0882	0.2975	0.00585	0.06061	0.02455	0.30625	0.00755	
0.30303	0.22445	0.2247	0.03045	0.30303	0.16125	0.18775	0.0216	0.30303	0.14875	0.1724	0.0161	0.30303	0.12575	0.1117	0.0264	0.30303	0.1071	0.09015	0.01775	0.30303	0.3516	0.17095	0.0087	0.30303	0.0783	0.13985	0.00485	0.30303	0.0943	0.12125	0.0061	0.30303	0.1742	0.1103	0.0098	0.30303	0.1239	0.1322	0.01115	0.12121	0.5005	0.7524	0.01955	0.12121	0.2003	0.6541	0.01845	0.12121	0.3169	0.5769	0.0089	0.12121	0.1658	0.50985	0.00975	0.12121	0.0497	0.53595	0.0121	
0.45455	0.3357	0.322	0.0437	0.45455	0.228	0.27285	0.0374	0.45455	0.2278	0.2411	0.0261	0.45455	0.1806	0.16755	0.03785	0.45455	0.1646	0.131	0.0278	0.45455	0.427	0.26255	0.0115	0.45455	0.1204	0.20905	0.00805	0.45455	0.1428	0.1752	0.0092	0.45455	0.2627	0.15675	0.0144	0.45455	0.20745	0.20645	0.0177	0.18182	0.66455	0.84325	0.0302	0.18182	0.2876	0.76475	0.0284	0.18182	0.41945	0.71015	0.0124	0.18182	0.24695	0.65065	0.01415	0.18182	0.074	0.6793	0.0165	
0.60606	0.43635	0.4029	0.05385	0.60606	0.29635	0.3414	0.0521	0.60606	0.30695	0.30135	0.0377	0.60606	0.22815	0.22145	0.05	0.60606	0.1984	0.16845	0.03835	0.60606	0.4756	0.33785	0.014	0.60606	0.1708	0.2629	0.0109	0.60606	0.1903	0.2269	0.0125	0.60606	0.3561	0.20085	0.01935	0.60606	0.28135	0.2736	0.02275	0.24242	0.76955	0.89305	0.04275	0.24242	0.3591	0.8299	0.0403	0.24242	0.504	0.79205	0.0165	0.24242	0.3286	0.7481	0.01865	0.24242	0.1018	0.7672	0.0205	
0.75758	0.52225	0.4749	0.06795	0.75758	0.3792	0.3998	0.0654	0.75758	0.3619	0.35165	0.05245	0.75758	0.28165	0.27575	0.0627	0.75758	0.2394	0.2223	0.05095	0.75758	0.52055	0.4003	0.0166	0.75758	0.22185	0.3129	0.0146	0.75758	0.24	0.2801	0.0154	0.75758	0.4344	0.253	0.0235	0.75758	0.3466	0.3342	0.02815	0.30303	0.8389	0.91945	0.0527	0.30303	0.413	0.8721	0.0489	0.30303	0.56615	0.8442	0.02255	0.30303	0.3931	0.81125	0.0239	0.30303	0.12975	0.8236	0.0236	
0.90909	0.589	0.53215	0.0833	0.90909	0.44995	0.45015	0.07885	0.90909	0.4186	0.3926	0.06645	0.90909	0.3366	0.3188	0.0756	0.90909	0.27385	0.2776	0.0645	0.90909	0.55715	0.45015	0.0189	0.90909	0.2749	0.3606	0.0169	0.90909	0.29035	0.33025	0.0183	0.90909	0.4992	0.30035	0.0274	0.90909	0.39205	0.39225	0.0338	0.36364	0.88775	0.93685	0.0626	0.36364	0.45955	0.8999	0.05685	0.36364	0.6263	0.87295	0.028	0.36364	0.4526	0.85395	0.02985	0.36364	0.1636	0.8633	0.0284	
1.06061	0.63275	0.58025	0.102	1.06061	0.5108	0.4943	0.0925	1.06061	0.45815	0.43675	0.07785	1.06061	0.38955	0.3589	0.08575	1.06061	0.3093	0.3285	0.07905	1.06061	0.58545	0.49355	0.02165	1.06061	0.33685	0.40195	0.01905	1.06061	0.33915	0.37255	0.0209	1.06061	0.54745	0.34265	0.03145	1.06061	0.4443	0.44415	0.0393	0.42424	0.92035	0.9472	0.07315	0.42424	0.5024	0.919	0.0643	0.42424	0.68235	0.8896	0.03465	0.42424	0.50175	0.88415	0.0338	0.42424	0.19115	0.89215	0.03335	
1.21212	0.66575	0.6259	0.122	1.21212	0.5533	0.5305	0.1061	1.21212	0.49045	0.4715	0.0914	1.21212	0.43155	0.39775	0.09705	1.21212	0.3414	0.367	0.0921	1.21212	0.61045	0.52925	0.02365	1.21212	0.3987	0.438	0.02115	1.21212	0.39285	0.41135	0.0238	1.21212	0.59715	0.3808	0.03585	1.21212	0.489	0.48785	0.04515	0.48485	0.93585	0.9552	0.08375	0.48485	0.5552	0.9319	0.07215	0.48485	0.7229	0.9024	0.04125	0.48485	0.55065	0.90475	0.0372	0.48485	0.217	0.91085	0.0376	
1.36364	0.6894	0.65625	0.1419	1.36364	0.5853	0.5655	0.1201	1.36364	0.51655	0.50085	0.1091	1.36364	0.4628	0.4357	0.11	1.36364	0.3753	0.4005	0.10835	1.36364	0.6349	0.559	0.0264	1.36364	0.4568	0.4708	0.0236	1.36364	0.44875	0.4488	0.02705	1.36364	0.63265	0.4209	0.0397	1.36364	0.5261	0.5248	0.0515	0.54545	0.94495	0.96095	0.0944	0.54545	0.60365	0.9413	0.07995	0.54545	0.76385	0.9129	0.04855	0.54545	0.6044	0.92335	0.0408	0.54545	0.24475	0.923	0.04085	
