event_name,arrivals,sensor_x,sensor_y,sensor_z,channel
1,77529.7095,0,20,130,7
1,77529.7498,0,75,75,8
1,77529.7568,10,10,0,4
1,77529.7623,0,130,130,6
1,77529.7647,75,75,0,3
1,77529.7684,150,75,75,11
1,77529.7685,150,20,130,9
1,77529.7739,10,140,0,1
1,77529.779,140,10,0,5
1,77529.7845,150,130,130,10
1,77529.7953,140,140,0,2
2,143794.5085,0,130,130,6
2,143794.5419,0,75,75,8
2,143794.5488,0,20,130,7
2,143794.551,10,140,0,1
2,143794.5545,75,75,0,3
2,143794.5624,150,75,75,11
2,143794.5632,150,130,130,10
2,143794.5638,10,10,0,4
2,143794.5729,140,140,0,2
2,143794.581,150,20,130,9
2,143794.5824,140,10,0,5
3,211706.6818,0,20,130,7
3,211706.6954,0,75,75,8
3,211706.6962,150,20,130,9
3,211706.7051,10,10,0,4
3,211706.7055,150,75,75,11
3,211706.7059,75,75,0,3
3,211706.7139,10,140,0,1
3,211706.7177,0,130,130,6
3,211706.7228,150,130,130,10
3,211706.7245,140,10,0,5
3,211706.7297,140,140,0,2
4,234717.8013,150,20,130,9
4,234717.8169,150,75,75,11
4,234717.826,0,20,130,7
4,234717.8264,0,75,75,8
4,234717.8304,140,10,0,5
4,234717.8336,75,75,0,3
4,234717.8386,150,130,130,10
4,234717.8422,140,140,0,2
4,234717.8503,10,10,0,4
4,234717.8529,10,140,0,1
4,234717.8569,0,130,130,6
5,249256.4962,150,20,130,9
5,249256.5332,150,75,75,11
5,249256.5517,140,10,0,5
5,249256.5534,75,75,0,3
5,249256.5545,150,130,130,10
5,249256.5606,140,140,0,2
5,249256.5686,0,20,130,7
5,249256.572,10,10,0,4
5,249256.577,0,75,75,8
5,249256.578,10,140,0,1
5,249256.5853,0,130,130,6
6,269098.2391,0,20,130,7
6,269098.2424,0,75,75,8
6,269098.2505,0,130,130,6
6,269098.2525,150,75,75,11
6,269098.2564,150,20,130,9
6,269098.2571,10,10,0,4
6,269098.2595,75,75,0,3
6,269098.2604,10,140,0,1
6,269098.2622,150,130,130,10
