x,y,z,1,2,3,4,5,6,7,8,9,10,11
50,0,50,0.028049273,0.031617066,0.017007534,0.011783165,0.018887665,0.047822119,0.034319408,0.017007534,0.066531932,0.077770375,0.037697568
55,0,50,0.028286885,0.031182536,0.01681674,0.01238379,0.018090163,0.048289286,0.035228499,0.017588536,0.065658452,0.077245106,0.036970929
55,5,50,0.027478988,0.030418065,0.016073958,0.01231323,0.018012774,0.047520575,0.034981433,0.01688389,0.065432398,0.076502694,0.036429888
50,5,50,0.027235955,0.030908657,0.016302887,0.011712604,0.018810276,0.047044802,0.034072342,0.016302887,0.066319593,0.077035849,0.0371723
50,0,55,0.028386819,0.032194306,0.017588536,0.012548718,0.019796756,0.047573665,0.033675914,0.01681674,0.067441023,0.078321497,0.038457949
55,0,55,0.042992768,0.045888419,0.031522622,0.027089672,0.032796045,0.062279547,0.048381796,0.031522622,0.080364334,0.091950989,0.051676812
55,5,55,0.042184871,0.045123947,0.03077984,0.027019112,0.032718656,0.06147165,0.048115767,0.03077984,0.080138281,0.091208576,0.05113577
50,5,55,0.027573501,0.031485898,0.01688389,0.01244713,0.019719367,0.046765768,0.033409885,0.016073958,0.067228684,0.077602745,0.037958677
60,0,50,0.02853534,0.030748007,0.016648091,0.012984415,0.017312056,0.048765559,0.036105131,0.018169539,0.064784972,0.076745835,0.03627234
60,5,50,0.027727443,0.029983536,0.015905309,0.012920451,0.017234667,0.047996847,0.035890524,0.017495305,0.064545204,0.075977426,0.035695362
60,0,55,0.043241222,0.045453889,0.031353974,0.027690298,0.032017939,0.063471442,0.050811014,0.032875421,0.079490854,0.091451717,0.050978222
60,5,55,0.042433325,0.044689418,0.030611191,0.027626333,0.03194055,0.06270273,0.050596406,0.032201187,0.079251086,0.090683308,0.050401244
65,0,50,0.028878307,0.030366324,0.016569274,0.013669439,0.016569274,0.049251227,0.03694714,0.018780953,0.063911492,0.076269259,0.035593913
65,5,50,0.02807041,0.029597142,0.015815291,0.013598878,0.016479257,0.048482515,0.036755533,0.018137131,0.063658009,0.075491152,0.034986691
65,0,55,0.04358419,0.045072206,0.031275157,0.028375321,0.031275157,0.063957109,0.051653022,0.033486836,0.078617374,0.090975141,0.050299795
65,5,55,0.042776292,0.044303025,0.030521174,0.028304761,0.031185139,0.063188397,0.051461415,0.032843014,0.078363892,0.090197035,0.049692573
70,0,50,0.029221275,0.029984641,0.016479257,0.014354462,0.015815291,0.049737197,0.03782062,0.01942278,0.063038012,0.075831474,0.034915485
70,5,50,0.028452093,0.029215459,0.015724904,0.014283902,0.015724904,0.049002672,0.037629013,0.018778958,0.062783654,0.075033972,0.034308264
70,0,55,0.043927157,0.044690523,0.031185139,0.029060345,0.030521174,0.06444308,0.052526502,0.034128663,0.077743894,0.090537356,0.049621368
70,5,55,0.043157975,0.043921342,0.030430786,0.028989784,0.030430786,0.063708554,0.052334895,0.033484841,0.077489536,0.089739854,0.049014146
75,0,50,0.029602958,0.029602958,0.016388869,0.015060939,0.015060939,0.050285759,0.038707814,0.020064607,0.06218402,0.075393688,0.034237058
75,5,50,0.028833776,0.028833776,0.015646457,0.014982492,0.014982492,0.04956664,0.038516207,0.019457386,0.061910174,0.074596187,0.033629837
75,0,55,0.04430884,0.04430884,0.031094752,0.029766821,0.029766821,0.064991642,0.053413697,0.034770489,0.076889903,0.090099571,0.04894294
75,5,55,0.043539659,0.043539659,0.030352339,0.029688374,0.029688374,0.064272523,0.05322209,0.034163268,0.076616056,0.089302069,0.048335719
80,0,50,0.029984641,0.029221275,0.016479257,0.015815291,0.014354462,0.050834321,0.039616905,0.020743034,0.061330029,0.074997278,0.033629837
80,5,50,0.029215459,0.028452093,0.015724904,0.015724904,0.014283902,0.050115202,0.039425298,0.020184093,0.061036694,0.074190926,0.032951409
80,0,55,0.044690523,0.043927157,0.031185139,0.030521174,0.029060345,0.065540203,0.054322788,0.035448917,0.076035911,0.08970316,0.048335719
80,5,55,0.043921342,0.043157975,0.030430786,0.030430786,0.028989784,0.064821085,0.05413118,0.034889976,0.075742576,0.088896808,0.047657292
85,0,50,0.030366324,0.028878307,0.016569274,0.016569274,0.013669439,0.05139077,0.040503811,0.021459592,0.060500003,0.074600868,0.033022615
85,5,50,0.029597142,0.02807041,0.015815291,0.016479257,0.013598878,0.050702261,0.040334389,0.020900651,0.060163214,0.073794515,0.032344188
85,0,55,0.045072206,0.04358419,0.031275157,0.031275157,0.028375321,0.066096652,0.055209693,0.036165474,0.075205885,0.08930675,0.047728498
85,5,55,0.044303025,0.042776292,0.030521174,0.031185139,0.028304761,0.065408144,0.055040271,0.035606533,0.074869096,0.088500398,0.04705007
90,0,50,0.030748007,0.02853534,0.016648091,0.017312056,0.012984415,0.05198791,0.041377291,0.022168332,0.059659906,0.074228131,0.032425475
90,5,50,0.029983536,0.027727443,0.015905309,0.017234667,0.012920451,0.051309483,0.04124348,0.021609391,0.059309223,0.073398105,0.031736966
90,0,55,0.045453889,0.043241222,0.031353974,0.032017939,0.027690298,0.066693792,0.056083173,0.036874214,0.074365789,0.088934014,0.047131357
90,5,55,0.044689418,0.042433325,0.030611191,0.03194055,0.027626333,0.066015365,0.055949362,0.036315273,0.074015105,0.088103987,0.046442849
95,0,50,0.031182536,0.028286885,0.01681674,0.018090163,0.01238379,0.052595131,0.042264485,0.022884958,0.058817898,0.073855395,0.031884433
95,5,50,0.030418065,0.027478988,0.016073958,0.018012774,0.01231323,0.051917349,0.042152571,0.022351803,0.058467214,0.073025368,0.031149907
95,0,55,0.045888419,0.042992768,0.031522622,0.032796045,0.027089672,0.067301014,0.056970367,0.03759084,0.072513426,0.088561277,0.046590316
95,5,55,0.045123947,0.042184871,0.03077984,0.032718656,0.027019112,0.066623232,0.056858453,0.037057685,0.071933696,0.087731251,0.04585579
100,0,50,0.031617066,0.028049273,0.017007534,0.018887665,0.011783165,0.053202998,0.043151679,0.023619484,0.057987871,0.073504711,0.031372163
100,5,50,0.030908657,0.027235955,0.016302887,0.018810276,0.011712604,0.052542556,0.043061662,0.02311902,0.057637188,0.072674684,0.030616753
100,0,55,0.034742066,0.031174273,0.020132534,0.022012665,0.014908165,0.056327998,0.046276679,0.026744484,0.057807544,0.076629711,0.034497163
100,5,55,0.034033657,0.030360955,0.019427887,0.021935276,0.014837604,0.055667556,0.046186662,0.02624402,0.057227813,0.075799684,0.033741753
55,10,50,0.026671091,0.029709657,0.015369312,0.012249265,0.017935385,0.046751863,0.034789826,0.016209656,0.065320484,0.075760281,0.03590462
50,10,50,0.026422636,0.030200249,0.015598241,0.011642044,0.018732887,0.046256497,0.033880735,0.015598241,0.066229575,0.076317097,0.036673029
55,10,55,0.041376973,0.044415539,0.030075194,0.026955148,0.032641268,0.060694333,0.047917364,0.030075194,0.080026366,0.090466164,0.050610502
50,10,55,0.026765604,0.030781252,0.016209656,0.012368683,0.019641978,0.04598845,0.033211482,0.015369312,0.067138666,0.076924318,0.037491799
60,10,50,0.026919546,0.029219064,0.015162527,0.012856487,0.017157278,0.047228135,0.035698917,0.016851483,0.064411393,0.075235013,0.035162207
60,10,55,0.041625428,0.043924947,0.029868409,0.027562369,0.031863161,0.061934018,0.050404799,0.031557365,0.079117275,0.089940896,0.049868089
65,10,50,0.027282105,0.028808838,0.015060939,0.013534914,0.016388869,0.047727104,0.036608008,0.01749331,0.063502302,0.074722743,0.034419795
65,10,55,0.041987988,0.04351472,0.029766821,0.028240797,0.031094752,0.062432986,0.05131389,0.032199192,0.078208185,0.089428626,0.049125677
70,10,50,0.027663789,0.028427155,0.014982492,0.014213341,0.015646457,0.048283553,0.037517099,0.018181818,0.062593211,0.07423647,0.033701042
70,10,55,0.042369671,0.043133037,0.029688374,0.028919224,0.030352339,0.062989435,0.052222981,0.032887701,0.077299094,0.088942352,0.048406925
75,10,50,0.028045472,0.028045472,0.014911931,0.014911931,0.014911931,0.048847522,0.038426189,0.018898445,0.06168412,0.073798685,0.033022615
75,10,55,0.042751354,0.042751354,0.029617813,0.029617813,0.029617813,0.063553404,0.053132072,0.033604327,0.076390003,0.088504567,0.047728498
80,10,50,0.028427155,0.027663789,0.014982492,0.015646457,0.014213341,0.049416613,0.03933528,0.019625152,0.060796926,0.073360899,0.032344188
80,10,55,0.043133037,0.042369671,0.029688374,0.030352339,0.028919224,0.064122495,0.054041163,0.034331035,0.075502808,0.088066782,0.04705007
85,10,50,0.028808838,0.027282105,0.015060939,0.016388869,0.013534914,0.050023834,0.040244371,0.02034171,0.059909732,0.072964489,0.031665761
85,10,55,0.04351472,0.041987988,0.029766821,0.031094752,0.028240797,0.064729716,0.054950254,0.035047592,0.074615614,0.087670371,0.046371643
90,10,50,0.029219064,0.026919546,0.015162527,0.017157278,0.012856487,0.050631701,0.041153462,0.021097121,0.059035376,0.072568079,0.031058539
90,10,55,0.043924947,0.041625428,0.029868409,0.031863161,0.027562369,0.065337583,0.055859345,0.035803003,0.073741258,0.087273961,0.045764422
95,10,50,0.029709657,0.026671091,0.015369312,0.017935385,0.012249265,0.051256907,0.042062553,0.021851339,0.058161896,0.072195342,0.030451318
95,10,55,0.044415539,0.041376973,0.030075194,0.032641268,0.026955148,0.065962789,0.056768435,0.036557222,0.071662763,0.086901224,0.0451572
100,10,50,0.030200249,0.026422636,0.015598241,0.018732887,0.011642044,0.051890162,0.042971644,0.022619748,0.057288416,0.071822605,0.02987434
100,10,55,0.033325249,0.029547636,0.018723241,0.021857887,0.014767044,0.055015162,0.046096644,0.025744748,0.056956881,0.074947605,0.03299934
55,15,50,0.025863194,0.029001248,0.014696475,0.01231323,0.018012774,0.045983151,0.034710091,0.015565834,0.065230466,0.075041529,0.035418346
50,15,50,0.025614739,0.029495603,0.014924007,0.011712604,0.018810276,0.045487785,0.033801,0.014924007,0.066139557,0.075638669,0.036206151
55,15,55,0.040569076,0.043707131,0.029402357,0.027019112,0.032718656,0.059906028,0.047821859,0.029402357,0.079936349,0.089747412,0.050124229
50,15,55,0.025957707,0.030076605,0.015565834,0.01244713,0.019719367,0.045200146,0.033115977,0.014696475,0.067048648,0.076245891,0.037054014
60,15,50,0.026111648,0.028510656,0.01448969,0.012920451,0.017234667,0.046459423,0.035619182,0.016207661,0.064321375,0.074492601,0.034649937
60,15,55,0.040817531,0.043216538,0.029195572,0.027626333,0.03194055,0.061165306,0.050325064,0.030913543,0.079027258,0.089198483,0.04935582
65,15,50,0.026493331,0.028020064,0.014354462,0.013598878,0.016479257,0.047007985,0.036528273,0.016914138,0.063412284,0.073967333,0.033894526
65,15,55,0.041199214,0.042725946,0.029060345,0.028304761,0.031185139,0.061713868,0.051234155,0.03162002,0.078118167,0.088673215,0.048600409
70,15,50,0.026875014,0.027638381,0.014283902,0.014283902,0.015724904,0.047564434,0.037437364,0.017622877,0.062503194,0.073468061,0.033152114
70,15,55,0.041580897,0.042344263,0.028989784,0.028989784,0.030430786,0.062270316,0.052143246,0.032328759,0.077209076,0.088173943,0.047857996
75,15,50,0.027256698,0.027256698,0.014213341,0.014982492,0.014982492,0.048130964,0.038346455,0.018339504,0.061594103,0.073001183,0.032425475
75,15,55,0.04196258,0.04196258,0.028919224,0.029688374,0.029688374,0.062836846,0.053052337,0.033045386,0.076299985,0.087707065,0.047131357
80,15,50,0.027638381,0.026875014,0.014283902,0.015724904,0.014283902,0.048738185,0.039255545,0.019074029,0.060685012,0.072563397,0.031736966
80,15,55,0.042344263,0.041580897,0.028989784,0.030430786,0.028989784,0.063444068,0.053961428,0.033779912,0.075390894,0.08726928,0.046442849
85,15,50,0.028020064,0.026493331,0.014354462,0.016479257,0.013598878,0.049346052,0.040164636,0.019841246,0.059775921,0.072158136,0.031058539
85,15,55,0.042725946,0.041199214,0.029060345,0.031185139,0.028304761,0.064051934,0.054870519,0.034547128,0.074481803,0.086864019,0.045764422
90,15,50,0.028510656,0.026111648,0.01448969,0.017234667,0.012920451,0.049971258,0.041073727,0.020596657,0.05886683,0.071761726,0.030380112
90,15,55,0.043216538,0.040817531,0.029195572,0.03194055,0.027626333,0.064677141,0.05577961,0.035302539,0.073572712,0.086467609,0.045085994
95,15,50,0.029001248,0.025863194,0.014696475,0.018012774,0.01231323,0.050604513,0.041982818,0.021384461,0.057957739,0.071365316,0.029772891
95,15,55,0.043707131,0.040569076,0.029402357,0.032718656,0.027019112,0.065310396,0.056688701,0.036090343,0.071353327,0.086071198,0.044478773
100,15,50,0.029495603,0.025614739,0.014924007,0.018810276,0.011712604,0.051247059,0.042891909,0.022167051,0.057048648,0.070992579,0.029165669
100,15,55,0.032620603,0.028739739,0.018049007,0.021935276,0.014837604,0.054372059,0.046016909,0.025292051,0.056647445,0.074117579,0.032290669
55,20,50,0.025055297,0.02829284,0.014023638,0.01238379,0.018090163,0.045214439,0.03463953,0.014922012,0.065140449,0.074353021,0.034970863
50,20,50,0.024806842,0.028790957,0.014280185,0.011783165,0.018887665,0.044719073,0.03373044,0.014280185,0.066049539,0.074960242,0.035768365
55,20,55,0.039761179,0.042998722,0.02872952,0.027089672,0.032796045,0.059117254,0.047757895,0.02872952,0.079846331,0.089058903,0.049676746
50,20,55,0.025169402,0.029371959,0.014922012,0.012548718,0.019796756,0.044411372,0.033052012,0.014023638,0.06695863,0.075567464,0.036648753
60,20,50,0.025342936,0.027802248,0.013816853,0.012984415,0.017312056,0.045740305,0.035548621,0.01564872,0.064231358,0.073765962,0.034173361
60,20,55,0.040048819,0.04250813,0.028522736,0.027690298,0.032017939,0.060446187,0.050254504,0.030354602,0.07893724,0.088471844,0.048879244
65,20,50,0.025724619,0.027311655,0.013669439,0.013669439,0.016569274,0.046288866,0.036457712,0.016355196,0.063322267,0.07322492,0.033395255
65,20,55,0.040430502,0.042017538,0.028375321,0.028375321,0.031275157,0.060994749,0.051163595,0.031061079,0.078028149,0.087930802,0.048101137
70,20,50,0.026106303,0.026869669,0.013598878,0.014354462,0.015815291,0.046845315,0.037366803,0.017063936,0.062413176,0.072699652,0.032626846
70,20,55,0.040812185,0.041575551,0.028304761,0.029060345,0.030521174,0.061551197,0.052072686,0.031769818,0.077119058,0.087405534,0.047332728
75,20,50,0.026487986,0.026487986,0.013534914,0.015060939,0.015060939,0.047452537,0.038275894,0.017819347,0.061504085,0.072213379,0.031884433
75,20,55,0.041193868,0.041193868,0.028240797,0.029766821,0.029766821,0.062158419,0.052981776,0.032525229,0.076209967,0.086919261,0.046590316
80,20,50,0.026869669,0.026106303,0.013598878,0.015815291,0.014354462,0.048060403,0.039184985,0.018573565,0.060594994,0.071765896,0.031149907
80,20,55,0.041575551,0.040812185,0.028304761,0.030521174,0.029060345,0.062766286,0.053890867,0.033279448,0.075300876,0.086471778,0.04585579
85,20,50,0.027311655,0.025724619,0.013669439,0.016569274,0.013669439,0.04868561,0.040094076,0.019351672,0.059685903,0.07132811,0.030451318
85,20,55,0.042017538,0.040430502,0.028375321,0.031275157,0.028375321,0.063391492,0.054799958,0.034057554,0.074391785,0.086033993,0.0451572
90,20,50,0.027802248,0.025342936,0.013816853,0.017312056,0.012984415,0.049318865,0.041003167,0.02014396,0.058776812,0.0709317,0.029772891
90,20,55,0.04250813,0.040048819,0.028522736,0.032017939,0.027690298,0.064024747,0.055709049,0.034849842,0.073482695,0.085637582,0.044478773
95,20,50,0.02829284,0.025055297,0.014023638,0.018090163,0.01238379,0.049961411,0.041912258,0.020931764,0.057867721,0.07053529,0.029094463
95,20,55,0.042998722,0.039761179,0.02872952,0.032796045,0.027089672,0.064667293,0.05661814,0.035637646,0.071042621,0.085241172,0.043800346
100,20,50,0.028790957,0.024806842,0.014280185,0.018887665,0.011783165,0.050639838,0.042821349,0.021729266,0.05695863,0.070162553,0.028487242
100,20,55,0.031915957,0.027931842,0.017405185,0.022012665,0.014908165,0.053764838,0.045946349,0.024854266,0.056336739,0.073287553,0.031612242
55,25,50,0.024286115,0.027588194,0.013360853,0.012560743,0.018167552,0.044467298,0.034710091,0.014363071,0.065230466,0.073674594,0.034533078
50,25,50,0.023998945,0.02808631,0.013636364,0.01198995,0.018988065,0.043950362,0.033801,0.013636364,0.066139557,0.074281815,0.035363104
55,25,55,0.038991998,0.042294076,0.028066735,0.027266625,0.032873434,0.058348542,0.047821859,0.028066735,0.079936349,0.088380476,0.04923896
50,25,55,0.024380628,0.028728137,0.014363071,0.012672451,0.019897156,0.04364266,0.033115977,0.013360853,0.067048648,0.074889036,0.036272195
60,25,50,0.024574224,0.027093839,0.0131476,0.0131476,0.017420412,0.045021186,0.035619182,0.015089779,0.064321375,0.073067372,0.033735576
60,25,55,0.039280107,0.041799722,0.027853483,0.027853483,0.032126294,0.059727068,0.050325064,0.029795661,0.079027258,0.087773254,0.048441458
65,25,50,0.024955908,0.026603247,0.012984415,0.013816853,0.016648091,0.045569748,0.036528273,0.015796255,0.063412284,0.072490394,0.032938074
65,25,55,0.03966179,0.041309129,0.027690298,0.028522736,0.031353974,0.06027563,0.051234155,0.030502138,0.078118167,0.087196277,0.047643957
70,25,50,0.025337591,0.02616126,0.012920451,0.01448969,0.015905309,0.046166888,0.037437364,0.016563472,0.062503194,0.071957239,0.032140572
70,25,55,0.040043473,0.040867143,0.027626333,0.029195572,0.030611191,0.06087277,0.052143246,0.031269354,0.077209076,0.086663122,0.046846455
75,25,50,0.025719274,0.025719274,0.012856487,0.015162527,0.015162527,0.046774755,0.038346455,0.017318883,0.061594103,0.071444969,0.031372163
75,25,55,0.040425156,0.040425156,0.027562369,0.029868409,0.029868409,0.061480637,0.053052337,0.032024765,0.076299985,0.086150852,0.046078046
80,25,50,0.02616126,0.025337591,0.012920451,0.015905309,0.01448969,0.047399961,0.039255545,0.018116385,0.060685012,0.070968394,0.030616753
