event_name,source_x,source_y,source_z
1,20,20,150
2,20,120,150
3,60,20,150
4,100,20,150
5,140,20,150
6,60,60,150
7,100,60,150
8,120,100,150
9,120,120,150
10,80,80,150
11,80,120,150
12,100,80,150
13,20,80,150
14,140,80,150
15,80,140,150
16,20,0,20
17,40,0,20
18,60,0,20
19,80,0,20
20,100,0,20
21,120,0,20
22,20,0,40
23,40,0,40
24,60,0,40
25,80,0,40
26,100,0,40
27,120,0,40
28,20,0,110
29,40,0,110
30,60,0,110
31,80,0,110
32,100,0,110
33,120,0,110
34,20,0,130
35,40,0,130
36,60,0,130
37,80,0,130
38,100,0,130
39,120,0,130
40,0,20,20
41,0,40,20
42,0,60,20
43,0,80,20
44,150,60,130
45,150,80,130
46,150,60,110
47,150,80,110
48,50,0,50
49,100,0,50
50,50,0,95
51,100,0,95
52,80,10,50
53,60,10,50
54,80,20,50
55,60,20,50
56,50,20,50
57,50,40,50
58,100,20,50
59,100,40,50
